S&P/ASX 200 Index (1 June 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
RIO,RIO Tinto Ltd,Materials,"36,093,400,000",2.09,,,
RMD,Resmed Inc,Health Care,"8,585,750,000",0.5,,,
RRL,Regis Resources Ltd,Materials,"2,779,750,000",0.16,,,
RSG,Resolute Mining Ltd,Materials,"1,295,820,000",0.08,,,
RWC,Reliance Worldwide Corporation Ltd,Industrials,"2,417,690,000",0.14,,,
S32,SOUTH32 Ltd,Materials,"9,450,220,000",0.55,,,
SAR,Saracen Mineral Holdings Ltd,Materials,"5,768,120,000",0.33,,,
SBM,ST Barbara Ltd,Materials,"2,285,060,000",0.13,,,
SCG,Scentre Group,Real Estate,"11,366,900,000",0.66,,,
SCP,Shopping Centres Australasia Property Group,Real Estate,"2,410,690,000",0.14,,,
SDF,Steadfast Group Ltd,Financials,"2,883,110,000",0.17,,,
SEK,Seek Ltd,Communication Services,"7,129,440,000",0.41,,,
SFR,Sandfire Resources Ltd,Materials,"811,044,000",0.05,,,
SGM,Sims Ltd,Materials,"1,572,670,000",0.09,,,
SGP,Stockland,Real Estate,"8,416,760,000",0.49,,,
SGR,The Star Entertainment Group Ltd,Consumer Discretionary,"2,788,660,000",0.16,,,
SHL,Sonic Healthcare Ltd,Health Care,"13,390,600,000",0.78,,,
SIQ,Smartgroup Corporation Ltd,Industrials,"876,779,000",0.05,,,
SKC,Skycity Entertainment Group Ltd,Consumer Discretionary,"1,607,940,000",0.09,,,
SKI,Spark Infrastructure Group,Utilities,"3,598,390,000",0.21,,,
SLR,Silver Lake Resources Ltd,Materials,"1,988,450,000",0.12,,,
SOL,Washington H Soul Pattinson & Company Ltd,Energy,"4,637,090,000",0.27,,,
SPK,Spark New Zealand Ltd,,"7,458,400,000",0.43,,,
SSM,Service Stream Ltd,Industrials,"824,213,000",0.05,,,
STO,Santos Ltd,Energy,"11,456,900,000",0.66,,,
SUL,Super Retail Group Ltd,Consumer Discretionary,"1,687,030,000",0.1,,,
SUN,Suncorp Group Ltd,Financials,"11,588,100,000",0.67,,,
SVW,Seven Group Holdings Ltd,Industrials,"5,633,340,000",0.33,,,
SXL,Southern Cross Media Group Ltd,Communication Services,"594,474,000",0.03,,,
SYD,Sydney Airport,Industrials,"13,333,000,000",0.77,,,
TAH,Tabcorp Holdings Ltd,Consumer Discretionary,"6,605,010,000",0.38,,,
TCL,Transurban Group,Industrials,"39,358,100,000",2.28,,,
TGR,Tassal Group Ltd,Consumer Staples,"817,654,000",0.05,,,
TLS,Telstra Corporation Ltd,Telecommunication Services,"38,296,400,000",2.22,,,
TNE,Technology One Ltd,Information Technology,"2,919,020,000",0.17,,,
TPM,TPG Telecom Ltd,Telecommunication Services,"7,663,720,000",0.44,,,
TWE,Treasury Wine Estates Ltd,Consumer Staples,"7,035,010,000",0.41,,,
UMG,United Malt Group Ltd,Consumer Staples,"1,295,510,000",0.08,,,
URW,Unibail-Rodamco-Westfield,Real Estate,"1,012,960,000",0.06,,,
VCX,Vicinity Centres,Real Estate,"5,987,320,000",0.35,,,
VEA,Viva Energy Group Ltd,Energy,"3,130,700,000",0.18,,,
VOC,Vocus Group Ltd,,"1,867,920,000",0.11,,,
VUK,Virgin Money Uk Plc,Financials,"1,624,130,000",0.09,,,
VVR,Viva Energy REIT,Real Estate,"1,905,300,000",0.11,,,
WBC,Westpac Banking Corporation,Financials,"62,698,800,000",3.63,,,
WEB,Webjet Ltd,Consumer Discretionary,"1,457,710,000",0.08,,,
WES,Wesfarmers Ltd,Consumer Discretionary,"46,101,900,000",2.67,,,
WHC,Whitehaven Coal Ltd,Energy,"1,816,100,000",0.11,,,
WOR,Worley Ltd,Energy,"4,475,320,000",0.26,,,
WOW,Woolworths Group Ltd,Consumer Staples,"44,561,800,000",2.58,,,
WPL,Woodside Petroleum Ltd,Energy,"21,883,400,000",1.27,,,
WSA,Western Areas Ltd,Materials,"635,699,000",0.04,,,
WTC,Wisetech Global Ltd,Information Technology,"6,520,550,000",0.38,,,
XRO,Xero Ltd,Information Technology,"12,294,400,000",0.71,,,
